CompanyName;tickers;country;industry;ISIN;
Finnair Oyj Uudet 2020;FIA1SN0120.HE;FI;SER;FI4000440128;
F-Secure Oyj;FSC1V.HE;FI;TECH;FI0009801310;
HKScan Oyj A;HKSAV.HE;FI;RET;FI0009006308;
Kamux Oyj;KAMUX.HE;FI;SER;FI4000206750;
Lassila & Tikanoja Oyj;LAT1V.HE;FI;IND;FI0009010854;
Lehto Group Oyj;LEHTO.HE;FI;IND;FI4000081138;
Marimekko Oyj;MMO1V.HE;FI;RET;FI0009007660;
Musti Group Oyj;MUSTI.HE;FI;SER;FI4000410758;
NoHo Partners Oyj;NOHO.HE;FI;SER;FI4000064332;
Oriola Oyj A;OKDAV.HE;FI;HEALTH;FI0009014344;
Oriola Oyj B;OKDBV.HE;FI;HEALTH;FI0009014351;
Olvi Oyj A;OLVAS.HE;FI;RET;FI0009900401;
Oma Säästöpankki Oyj;OMASP.HE;FI;BAN;FI4000306733;
Pihlajalinna Oyj;PIHLIS.HE;FI;HEALTH;FI4000092556;
Ponsse Oyj 1;PON1V.HE;FI;IND;FI0009005078;
Qt Group Oyj;QTCOM.HE;FI;TECH;FI4000198031;
Raisio Oyj Vaihto-osake;RAIVV.HE;FI;RET;FI0009002943;
Revenio Group Oyj;REG1V.HE;FI;HEALTH;FI0009010912;
Rovio Entertainment Oyj;ROVIO.HE;FI;RET;FI4000266804;
Scanfil Oyj;SCANFL.HE;FI;IND;FI4000029905;
Stockmann Oyj Abp A;STCAS.HE;FI;SER;FI0009000236;
Stockmann Oyj Abp B;STCBV.HE;FI;SER;FI0009000251;
Taaleri Oyj;TAALA.HE;FI;BAN;FI4000062195;
AS Tallink Grupp FDR;TALLINK.HE;FI;IND;FI4000349378;
Tikkurila Oyj;TIK1V.HE;FI;IND;FI4000008719;
Talenom Oyj;TNOM.HE;FI;IND;FI4000153580;
Tokmanni Group Oyj;TOKMAN.HE;FI;SER;FI4000197934;
