"CompanyName";"tickers";"country";"industry";"ISIN"
"AT & S Austria Technologie & Systemtechnik Aktiengesellschaft";"ATS.VI";"AT";NA;NA
"Avantium";"AVTX.AS";"HO";"CHE";"NL0012047823"
"Azimut";"AZM.MI";"IT";"BAN";NA
"Metro AG";"B4B.DE";"DE";"RET";NA
"Banco BPM";"BAMI.MI";"IT";"BAN";NA
"Barco";"BAR.BR";"BE";"IND";"BE0974362940"
"BASF";"BAS.DE";"DE";"CHE";NA
"Basware Oyj";"BAS1V.HE";"FI";"TECH";"FI0009008403"
"Bayer";"BAYN.DE";"DE";"PHA";NA
"Beter Bed";"BBED.AS";"HO";"RET";"NL0000339703"
"BBVA";"BBVA.MC";"ES";"BAN";"ES0113211835"
"Bechtle AG";"BC8.DE";"DE";"TECH";NA
"Banco Comercial Português";"BCP.LS";"PO";"BAN";"PTBCP0AM0015"
"BaronDeLey";"BDL.MC";"ES";"FOOD";NA
"Beiersdorf ";"BEI.DE ";"DE";NA;NA
"Basic-Fit";"BFIT.AS";"HO";"SER";"NL0011872650"
"BAWAG Group AG";"BG.VI";"AT";NA;NA
"Banca Generali";"BGN.MI";"IT";"BAN";NA
"BioMerieux";"BIM.PA";"FR";NA;"FR0013280286"
"Binckbank";"BINCK.AS";"HO";"BAN";NA
"Biohit Oyj B";"BIOBV.HE";"FI";"HEALTH";"FI0009005482"
"Bittium Oyj";"BITTI.HE";"FI";"TECH";"FI0009007264"
"Bankia";"BKIA.MC";"ES";"BAN";"ES0113307062"
"Bankinter";"BKT.MC";"ES";"BAN";"ES0113679I37"
NA;"BMED.MI";"IT";"BAN";NA
"BMW";"BMW.DE";"DE";"AUT";NA
"Danone";"BN.PA";"FR";"FOOD";"FR0000120644"
"BNP Paribas";"BNP.PA";"FR";"BAN";"FR0000131104"
"Brenntag AG";"BNR.DE";"DE";"CHE";NA
"Lucas Bols";"BOLS.AS";"HO";"FOOD";"NL0010998878"
"Hugo Boss";"BOSS.DE";"DE";"RET";NA
"BPER Banca";"BPE.MI";"IT";"BAN";NA
"Brembo";"BRE.MI";"IT";"AUT";NA
"Brunel International";"BRNL.AS";"HO";"SER";"NL0010776944"
"Bureau Veritas";"BVI.PA";"FR";"SER";"FR0006174348"
"Buzzi Unicem";"BZU.MI";"IT";"CON";NA
"Carrefour";"CA.PA";"FR";"FOOD";"FR0000120172"
"CaixaBank";"CABK.MC";"ES";"BAN";"ES0140609019"
"CA Immobilien Anlagen AG";"CAI.VI";"AT";"INM";NA
"Capgemini";"CAP.PA";"FR";"TECH";"FR0000125338"
"CapMan Oyj";"CAPMAN.HE";"FI";"BAN";"FI0009009377"
"Caverion Oyj";"CAV1V.HE";"FI";"IND";"FI4000062781"
"Commerzbank AG";"CBK.DE";"DE";"BAN";NA
"Cargotec Oyj";"CGCBV.HE";"FI";"IND";"FI0009013429"
"CIE Automotive";"CIE.MC";"ES";"AUT";"ES0105630315"
"Cellnex Telecom";"CLNX.MC";"ES";"TECH";"ES0105066007"
"CNH Industrial";"CNHI.MI";"IT";"IND";NA
"Cofinimmo";"COFB.BR";"BE";"INM";"BE0003593044"
"Inmobiliaria Colonial";"COL.MC";"ES";"INM";"ES0139140174"
"Colruyt";"COLR.BR";"BE";"RET";"BE0974256852"
"Continental";"CON.DE ";"DE";"AUT";NA
"Consti Oyj";"CONSTI.HE";"FI";"IND";"FI4000178256"
"Corticeira Amorim";"COR.LS";"PO";"FOOD";"PTCOR0AE0006"
"Covivo";"COV.PA";"FR";NA;"FR0000064578"
"Campari";"CPR.MI";"IT";"FOOD";NA
"CRH";"CRG.IR";"IR";"CONS";"IE0001827041"
"AXA";"CS.PA";"FR";"INS";"FR0000120628"
"Componenta Oyj";"CTH1V.HE";"FI";"IND";"FI0009010110"
"CTT Correios de Portugal";"CTT.LS";"PO";"TRANS";"PTCTT0AM0001"
"Citycon Oyj";"CTY1S.HE";"FI";"BAN";"FI4000369947"
"Daimler";"DAI.DE";"DE";"AUT";NA
"Deutsche Börse";"DB1.DE";"DE";"#N/A";NA
"DEUTSCHEBANK";"DBK.DE";"DE";"BAN";NA
"Deutsche EuroShop AG";"DEQ.DE";"DE";"INM";NA
"Vinci";"DG.PA";"FR";"CON";"FR0000125486"
"Delivery Hero SE";"DHER.DE";"DE";"FOOD";NA
"Diasorin";"DIA.MI";"IT";"SUP";NA
"Digia Oyj";"DIGIA.HE";"FI";"TECH";"FI0009007983"
"Digitalist Group Oyj";"DIGIGR.HE";"FI";"TECH";"FI0009008007"
"De'Longhi S.p.A ";"DLG.MI";"IT";NA;NA
"DO & CO Aktiengesellschaft";"DOC.VI";"AT";NA;NA
"Dovre Group Oyj";"DOV1V.HE";"FI";"IND";"FI0009008098"
"Deutsche Post";"DPW.DE";"DE";"TRANS";NA
"1&1 Drillisch";"DRI.DE";"DE";"COM";NA
"Dragerwerk";"DRW3.DE";"DE";"HEALTH";NA
"DSM";"DSM.AS";"HO";"CHE";"NL0000009827"
